Datetime,DailyMinimumDryBulbTemperature
2012-06-20,31.0
2012-06-21,40.0
2012-06-22,44.0
2012-06-23,37.0
2012-06-24,31.0
2012-06-25,34.0
2012-06-26,37.0
2012-06-27,32.0
2012-06-28,35.0
2012-06-29,38.0
2012-06-30,38.0
2012-07-01,52.0
2012-07-02,45.0
2012-07-03,49.0
2012-07-04,39.0
2012-07-05,42.0
2012-07-06,42.0
2012-07-07,42.0
2012-07-08,45.0
2012-07-09,48.0
2012-07-10,44.0
2012-07-11,49.0
2012-07-12,50.0
2012-07-13,49.0
2012-07-14,47.0
2012-07-15,46.0
2012-07-16,46.0
2012-07-17,43.0
2012-07-18,38.0
2012-07-19,49.0
2012-07-20,47.0
2012-07-21,41.0
2012-07-22,43.0
2012-07-23,48.0
2012-07-24,50.0
2012-07-25,47.0
2012-07-26,45.0
2012-07-27,45.0
2012-07-28,43.0
2012-07-29,43.0
2012-07-30,46.0
2012-07-31,44.0
2012-08-01,44.0
2012-08-02,44.0
2012-08-03,45.0
2012-08-04,47.0
2012-08-05,55.0
2012-08-06,44.0
2012-08-07,43.0
2012-08-08,41.0
2012-08-09,42.0
2012-08-10,45.0
2012-08-11,43.0
2012-08-12,44.0
2012-08-13,50.0
2012-08-14,49.0
2012-08-15,52.0
2012-08-16,53.0
2012-08-17,49.0
2012-08-18,55.0
2012-08-19,44.0
2012-08-20,41.0
2012-08-21,43.0
2012-08-22,42.0
2012-08-23,43.0
2012-08-24,40.0
2012-08-25,38.0
2012-08-26,40.0
2012-08-27,33.0
2012-08-28,30.0
2012-08-29,34.0
2012-08-30,34.0
2012-08-31,34.0
2012-09-01,34.0
2012-09-02,35.0
2012-09-03,35.0
2012-09-04,36.0
2012-09-05,34.0
2012-09-06,52.0
2012-09-07,43.0
2012-09-08,42.0
2012-09-09,42.0
2012-09-10,33.0
2012-09-11,34.0
2012-09-12,33.0
2012-09-13,32.0
2012-09-14,37.0
2012-09-15,39.0
2012-09-16,33.0
2012-09-17,33.0
2012-09-18,35.0
2012-09-19,36.0
2012-09-20,36.0
2012-09-21,39.0
2012-09-22,38.0
2012-09-23,50.0
2012-09-24,39.0
2012-09-25,34.0
2012-09-26,35.0
2012-09-27,35.0
2012-09-28,38.0
2012-09-29,37.0
2012-09-30,32.0
2012-10-01,34.0
2012-10-02,33.0
2012-10-03,31.0
2012-10-04,29.0
2012-10-05,28.0
2012-10-06,25.0
2012-10-07,24.0
2012-10-08,26.0
2012-10-09,30.0
2012-10-10,35.0
2012-10-11,27.0
2012-10-12,29.0
2012-10-13,35.0
2012-10-14,28.0
2012-10-15,47.0
2012-10-16,33.0
2012-10-17,20.0
2012-10-18,20.0
2012-10-19,30.0
2012-10-20,31.0
2012-10-21,18.0
2012-10-22,31.0
2012-10-23,26.0
2012-10-24,30.0
2012-10-25,22.0
2012-10-26,20.0
2012-10-27,26.0
2012-10-28,28.0
2012-10-29,28.0
2012-10-30,32.0
2012-10-31,39.0
2012-11-01,27.0
2012-11-02,18.0
2012-11-03,30.0
2012-11-04,27.0
2012-11-05,25.0
2012-11-06,22.0
2012-11-07,24.0
2012-11-08,28.0
2012-11-09,26.0
2012-11-10,7.0
2012-11-11,1.0
2012-11-12,27.0
2012-11-13,24.0
2012-11-14,28.0
2012-11-15,20.0
2012-11-16,36.0
2012-11-17,32.0
2012-11-18,29.0
2012-11-19,36.0
2012-11-20,45.0
2012-11-21,24.0
2012-11-22,18.0
2012-11-23,24.0
2012-11-24,19.0
2012-11-25,25.0
2012-11-26,20.0
2012-11-27,19.0
2012-11-28,30.0
2012-11-29,40.0
2012-11-30,39.0
2012-12-01,39.0
2012-12-02,28.0
2012-12-03,23.0
2012-12-04,39.0
2012-12-05,27.0
2012-12-06,22.0
2012-12-07,18.0
2012-12-08,19.0
2012-12-09,20.0
2012-12-10,21.0
2012-12-11,17.0
2012-12-12,28.0
2012-12-13,17.0
2012-12-14,12.0
2012-12-15,3.0
2012-12-16,27.0
2012-12-17,16.0
2012-12-18,9.0
2012-12-19,5.0
2012-12-20,26.0
2012-12-21,30.0
2012-12-22,25.0
2012-12-23,28.0
2012-12-24,9.0
2012-12-25,9.0
2012-12-26,25.0
2012-12-27,3.0
2012-12-28,2.0
2012-12-29,22.0
2012-12-30,-3.0
2012-12-31,-6.0
2013-01-01,-1.0
2013-01-02,-5.0
2013-01-03,1.0
2013-01-04,2.0
2013-01-05,7.0
2013-01-06,8.0
2013-01-07,23.0
2013-01-08,19.0
2013-01-09,21.0
2013-01-10,15.0
2013-01-11,-9.0
2013-01-12,-19.0
2013-01-13,-21.0
2013-01-14,-15.0
2013-01-15,-5.0
2013-01-16,-7.0
2013-01-17,-7.0
2013-01-18,-5.0
2013-01-19,-2.0
2013-01-20,-3.0
2013-01-21,1.0
2013-01-22,9.0
2013-01-23,29.0
2013-01-24,37.0
2013-01-25,34.0
2013-01-26,29.0
2013-01-27,22.0
2013-01-28,25.0
2013-01-29,25.0
2013-01-30,19.0
2013-01-31,19.0
2013-02-01,18.0
2013-02-02,21.0
2013-02-03,21.0
2013-02-04,22.0
2013-02-05,26.0
2013-02-06,22.0
2013-02-07,21.0
2013-02-08,18.0
2013-02-09,16.0
2013-02-10,18.0
2013-02-11,16.0
2013-02-12,17.0
2013-02-13,19.0
2013-02-14,19.0
2013-02-15,19.0
2013-02-16,19.0
2013-02-17,19.0
2013-02-18,21.0
2013-02-19,22.0
2013-02-20,15.0
2013-02-21,19.0
2013-02-22,22.0
2013-02-23,22.0
2013-02-24,12.0
2013-02-25,20.0
2013-02-26,12.0
2013-02-27,15.0
2013-02-28,33.0
2013-03-01,23.0
2013-03-02,26.0
2013-03-03,29.0
2013-03-04,22.0
2013-03-05,29.0
2013-03-06,21.0
2013-03-07,13.0
2013-03-08,17.0
2013-03-09,23.0
2013-03-10,15.0
2013-03-11,20.0
2013-03-12,23.0
2013-03-13,22.0
2013-03-14,25.0
2013-03-15,27.0
