Datetime,DailyMaximumDryBulbTemperature
2013-03-08,50.0
2013-03-09,52.0
2013-03-10,58.0
2013-03-11,61.0
2013-03-12,69.0
2013-03-13,68.0
2013-03-14,68.0
2013-03-15,64.0
2013-03-16,60.0
2013-03-17,52.0
2013-03-18,56.0
2013-03-19,58.0
2013-03-20,57.0
2013-03-21,46.0
2013-03-22,42.0
2013-03-23,51.0
2013-03-24,59.0
2013-03-25,63.0
2013-03-26,55.0
2013-03-27,60.0
2013-03-28,60.0
2013-03-29,67.0
2013-03-30,74.0
2013-03-31,51.0
2013-04-01,46.0
2013-04-02,61.0
2013-04-03,68.0
2013-04-04,56.0
2013-04-05,56.0
2013-04-06,54.0
2013-04-07,51.0
2013-04-08,45.0
2013-04-09,58.0
2013-04-10,65.0
2013-04-11,60.0
2013-04-12,68.0
2013-04-13,55.0
2013-04-14,49.0
2013-04-15,42.0
2013-04-16,45.0
2013-04-17,50.0
2013-04-18,62.0
2013-04-19,60.0
2013-04-20,64.0
2013-04-21,67.0
2013-04-22,59.0
2013-04-23,65.0
2013-04-24,67.0
2013-04-25,73.0
2013-04-26,77.0
2013-04-27,79.0
2013-04-28,72.0
2013-04-29,64.0
2013-04-30,61.0
2013-05-01,66.0
2013-05-02,75.0
2013-05-03,76.0
2013-05-04,67.0
2013-05-05,72.0
2013-05-06,66.0
2013-05-07,55.0
2013-05-08,63.0
2013-05-09,75.0
2013-05-10,81.0
2013-05-11,83.0
2013-05-12,83.0
2013-05-13,82.0
2013-05-14,80.0
2013-05-15,74.0
2013-05-16,54.0
2013-05-17,61.0
2013-05-18,64.0
2013-05-19,65.0
2013-05-20,74.0
2013-05-21,65.0
2013-05-22,54.0
2013-05-23,57.0
2013-05-24,67.0
2013-05-25,68.0
2013-05-26,63.0
2013-05-27,55.0
2013-05-28,64.0
2013-05-29,66.0
2013-05-30,69.0
2013-05-31,75.0
2013-06-01,82.0
2013-06-02,79.0
2013-06-03,81.0
2013-06-04,85.0
2013-06-05,89.0
2013-06-06,91.0
2013-06-07,90.0
2013-06-08,93.0
2013-06-09,96.0
2013-06-10,78.0
2013-06-11,77.0
2013-06-12,73.0
2013-06-13,67.0
2013-06-14,75.0
2013-06-15,85.0
2013-06-16,81.0
2013-06-17,82.0
2013-06-18,71.0
2013-06-19,60.0
2013-06-20,68.0
2013-06-21,72.0
2013-06-22,80.0
2013-06-23,66.0
2013-06-24,62.0
2013-06-25,65.0
2013-06-26,78.0
2013-06-27,90.0
2013-06-28,97.0
2013-06-29,95.0
2013-06-30,101.0
2013-07-01,100.0
2013-07-02,104.0
2013-07-03,99.0
2013-07-04,93.0
2013-07-05,91.0
2013-07-06,90.0
2013-07-07,91.0
2013-07-08,91.0
2013-07-09,94.0
2013-07-10,93.0
2013-07-11,89.0
2013-07-12,86.0
2013-07-13,89.0
2013-07-14,92.0
2013-07-15,94.0
2013-07-16,89.0
2013-07-17,89.0
2013-07-18,98.0
2013-07-19,100.0
2013-07-20,101.0
2013-07-21,101.0
2013-07-22,97.0
2013-07-23,93.0
2013-07-24,94.0
2013-07-25,100.0
2013-07-26,94.0
2013-07-27,93.0
2013-07-28,89.0
2013-07-29,89.0
2013-07-30,89.0
2013-07-31,88.0
2013-08-01,81.0
2013-08-02,81.0
2013-08-03,87.0
2013-08-04,90.0
2013-08-05,90.0
2013-08-06,92.0
2013-08-07,84.0
2013-08-08,64.0
2013-08-09,75.0
2013-08-10,79.0
2013-08-11,83.0
2013-08-12,84.0
2013-08-13,90.0
2013-08-14,91.0
2013-08-15,92.0
2013-08-16,90.0
2013-08-17,91.0
2013-08-18,97.0
2013-08-19,97.0
2013-08-20,88.0
2013-08-21,91.0
2013-08-22,81.0
2013-08-23,82.0
2013-08-24,81.0
2013-08-25,76.0
2013-08-26,81.0
2013-08-27,86.0
2013-08-28,86.0
2013-08-29,85.0
2013-08-30,88.0
2013-08-31,91.0
2013-09-01,83.0
2013-09-02,77.0
2013-09-03,85.0
2013-09-04,87.0
2013-09-05,81.0
2013-09-06,78.0
2013-09-07,86.0
2013-09-08,87.0
2013-09-09,87.0
2013-09-10,88.0
2013-09-11,91.0
2013-09-12,87.0
2013-09-13,90.0
2013-09-14,90.0
2013-09-15,87.0
2013-09-16,80.0
2013-09-17,63.0
2013-09-18,69.0
2013-09-19,80.0
2013-09-20,80.0
2013-09-21,60.0
2013-09-22,61.0
2013-09-23,71.0
2013-09-24,62.0
2013-09-25,52.0
2013-09-26,53.0
2013-09-27,61.0
2013-09-28,67.0
2013-09-29,63.0
2013-09-30,66.0
2013-10-01,58.0
2013-10-02,62.0
2013-10-03,54.0
2013-10-04,61.0
2013-10-05,74.0
2013-10-06,77.0
2013-10-07,67.0
2013-10-08,57.0
2013-10-09,50.0
2013-10-10,61.0
2013-10-11,62.0
2013-10-12,57.0
2013-10-13,55.0
2013-10-14,60.0
2013-10-15,61.0
2013-10-16,65.0
2013-10-17,68.0
2013-10-18,71.0
2013-10-19,75.0
2013-10-20,74.0
2013-10-21,75.0
2013-10-22,77.0
2013-10-23,75.0
2013-10-24,75.0
2013-10-25,73.0
2013-10-26,74.0
2013-10-27,66.0
2013-10-28,42.0
2013-10-29,43.0
2013-10-30,49.0
2013-10-31,61.0
2013-11-01,66.0
2013-11-02,56.0
2013-11-03,41.0
2013-11-04,48.0
2013-11-05,54.0
2013-11-06,64.0
2013-11-07,64.0
2013-11-08,57.0
2013-11-09,65.0
2013-11-10,68.0
2013-11-11,72.0
2013-11-12,68.0
2013-11-13,65.0
2013-11-14,61.0
2013-11-15,44.0
2013-11-16,50.0
2013-11-17,54.0
2013-11-18,47.0
2013-11-19,48.0
2013-11-20,44.0
2013-11-21,39.0
2013-11-22,50.0
2013-11-23,55.0
2013-11-24,50.0
2013-11-25,59.0
2013-11-26,59.0
2013-11-27,59.0
2013-11-28,54.0
2013-11-29,56.0
2013-11-30,56.0
2013-12-01,55.0
2013-12-02,52.0
2013-12-03,33.0
2013-12-04,25.0
2013-12-05,27.0
2013-12-06,31.0
2013-12-07,21.0
2013-12-08,10.0
2013-12-09,19.0
2013-12-10,21.0
2013-12-11,39.0
2013-12-12,43.0
2013-12-13,43.0
2013-12-14,47.0
2013-12-15,49.0
2013-12-16,51.0
2013-12-17,50.0
2013-12-18,43.0
2013-12-19,34.0
2013-12-20,33.0
2013-12-21,48.0
2013-12-22,50.0
2013-12-23,50.0
2013-12-24,48.0
2013-12-25,53.0
2013-12-26,55.0
2013-12-27,42.0
2013-12-28,49.0
2013-12-29,46.0
2013-12-30,52.0
2013-12-31,54.5
2014-01-01,57.0
2014-01-02,54.0
2014-01-03,57.0
2014-01-04,41.0
2014-01-05,51.0
2014-01-06,54.0
2014-01-07,52.0
2014-01-08,48.0
2014-01-09,42.0
2014-01-10,45.0
2014-01-11,47.0
2014-01-12,41.0
2014-01-13,51.0
2014-01-14,53.0
2014-01-15,53.0
2014-01-16,58.0
2014-01-17,62.0
2014-01-18,63.0
2014-01-19,55.0
2014-01-20,61.0
2014-01-21,60.0
2014-01-22,55.0
2014-01-23,52.0
2014-01-24,58.0
2014-01-25,60.0
2014-01-26,62.0
2014-01-27,50.0
2014-01-28,53.0
2014-01-29,46.0
2014-01-30,42.0
2014-01-31,38.0
2014-02-01,43.0
2014-02-02,44.0
2014-02-03,38.0
2014-02-04,38.0
2014-02-05,42.0
2014-02-06,38.0
2014-02-07,41.0
2014-02-08,46.0
2014-02-09,46.0
2014-02-10,48.0
2014-02-11,49.0
2014-02-12,51.0
2014-02-13,51.0
2014-02-14,53.0
2014-02-15,62.0
2014-02-16,46.0
2014-02-17,50.0
2014-02-18,52.0
2014-02-19,37.0
2014-02-20,47.0
2014-02-21,51.0
2014-02-22,55.0
2014-02-23,60.0
2014-02-24,64.0
2014-02-25,67.0
2014-02-26,55.0
2014-02-27,49.0
2014-02-28,51.0
2014-03-01,50.0
2014-03-02,50.0
2014-03-03,50.0
2014-03-04,52.0
2014-03-05,54.0
2014-03-06,49.0
2014-03-07,53.0
2014-03-08,66.0
2014-03-09,54.0
2014-03-10,47.0
2014-03-11,49.0
2014-03-12,58.0
2014-03-13,62.0
2014-03-14,59.0
2014-03-15,68.0
2014-03-16,70.0
2014-03-17,52.0
2014-03-18,52.0
2014-03-19,61.0
2014-03-20,60.0
2014-03-21,59.0
2014-03-22,60.0
2014-03-23,64.0
2014-03-24,70.0
2014-03-25,51.0
2014-03-26,49.0
2014-03-27,47.0
2014-03-28,54.0
2014-03-29,44.0
2014-03-30,46.0
2014-03-31,44.0
2014-04-01,46.0
2014-04-02,51.0
2014-04-03,51.0
2014-04-04,47.0
2014-04-05,54.0
2014-04-06,63.0
2014-04-07,74.0
2014-04-08,74.0
2014-04-09,72.0
2014-04-10,73.0
2014-04-11,75.0
2014-04-12,74.0
2014-04-13,65.0
2014-04-14,73.0
2014-04-15,66.0
2014-04-16,67.0
2014-04-17,74.0
2014-04-18,67.0
2014-04-19,69.0
2014-04-20,70.0
2014-04-21,66.0
2014-04-22,52.0
2014-04-23,58.0
2014-04-24,59.0
2014-04-25,46.0
2014-04-26,51.0
2014-04-27,53.0
2014-04-28,60.0
2014-04-29,72.0
2014-04-30,78.0
2014-05-01,83.0
2014-05-02,80.0
2014-05-03,71.0
2014-05-04,64.0
2014-05-05,52.0
2014-05-06,60.0
2014-05-07,62.0
2014-05-08,57.0
2014-05-09,60.0
2014-05-10,54.0
2014-05-11,65.0
2014-05-12,72.0
2014-05-13,79.0
2014-05-14,84.0
2014-05-15,85.0
2014-05-16,80.0
2014-05-17,77.0
2014-05-18,64.0
2014-05-19,61.0
2014-05-20,70.0
2014-05-21,75.0
2014-05-22,80.0
2014-05-23,83.0
2014-05-24,80.0
2014-05-25,84.0
2014-05-26,80.0
2014-05-27,77.0
2014-05-28,62.0
2014-05-29,74.0
2014-05-30,79.0
2014-05-31,79.0
2014-06-01,84.0
2014-06-02,84.0
2014-06-03,81.0
2014-06-04,86.0
2014-06-05,88.0
2014-06-06,87.0
2014-06-07,87.0
2014-06-08,87.0
2014-06-09,92.0
2014-06-10,86.0
2014-06-11,89.0
2014-06-12,80.0
2014-06-13,67.0
2014-06-14,72.0
2014-06-15,76.0
2014-06-16,67.0
2014-06-17,64.0
